"","Name","Position","Age","Team","Games","GS","AFP"
"165","Richaun Holmes","C",26,"SAC",44,38,33.8
"166","Alec Burks","SG",28,"PHI",18,1,33.7
"167","Troy Brown Jr.","SF",20,"WAS",69,22,33.65
"168","Duncan Robinson","SG",25,"MIA",73,68,33.6
"169","Tomáš Satoranský","SG",28,"CHI",65,64,33.45
"170","Trevor Ariza","SF",34,"POR",21,21,33.35
"171","Rudy Gay","PF",33,"SAS",67,5,33.05
"172","Josh Hart","SF",24,"NOP",65,16,33.05
"173","Derrick White","SG",25,"SAS",68,20,33
"174","Shabazz Napier","PG",28,"MIN",36,22,32.95
"175","Shabazz Napier","PG",28,"TOT",56,32,32.9
"176","Kyle Kuzma","PF",24,"LAL",61,9,32.85
"177","Tyler Johnson","SG",27,"BRK",8,4,32.75
"178","Wendell Carter Jr.","C",20,"CHI",43,43,32.7
"179","Shabazz Napier","PG",28,"WAS",20,10,32.6
"180","Jeff Teague","PG",31,"TOT",59,17,32.6
"181","Darius Garland","SG",20,"CLE",59,59,32.5
"182","Brandon Knight","PG",28,"DET",9,3,32.4
"183","Glenn Robinson III","SF",26,"TOT",62,52,32.3
"184","OG Anunoby","SF",22,"TOR",69,68,32.1
"185","Cameron Payne","SG",25,"PHO",8,0,31.95
"186","D.J. Augustin","PG",32,"ORL",57,13,31.75
"187","Otto Porter","SF",26,"CHI",14,9,31.7
"188","Cody Zeller","C",27,"CHO",58,39,31.7
"189","Dario Šarić","PF",25,"PHO",66,51,31.5
"190","Garrett Temple","SG",33,"BRK",62,35,31.45
"191","Isaiah Thomas","PG",30,"WAS",40,37,31.45
"192","Paul Millsap","PF",34,"DEN",51,48,31.35
"193","De'Andre Hunter","SF",22,"ATL",63,62,31.25
"194","Jordan McRae","SG",28,"TOT",37,4,31.2
"195","Seth Curry","SG",29,"DAL",64,25,30.8
"196","Jerami Grant","PF",25,"DEN",71,24,30.7
"197","Thaddeus Young","PF",31,"CHI",64,16,30.65
"198","Donte DiVincenzo","SG",23,"MIL",66,24,30.55
"199","Jeff Green","C",33,"HOU",18,2,30.5
"200","Danuel House","SF",26,"HOU",63,52,30.25
"201","Marquese Chriss","PF",22,"GSW",59,21,30.05
"202","Cedi Osman","SF",24,"CLE",65,65,29.75
"203","Marc Gasol","C",35,"TOR",44,43,29.7
"204","Bobby Portis","PF",24,"NYK",66,5,29.45
"205","Bruce Brown","PG",23,"DET",58,43,29.4
"206","Malik Beasley","SG",23,"TOT",55,14,29.2
"207","Patty Mills","PG",31,"SAS",66,1,29
"208","Aron Baynes","C",33,"PHO",42,28,29
"209","George Hill","PG",33,"MIL",59,2,28.9
"210","Rodney Hood","SF",27,"POR",21,21,28.7
"211","Mitchell Robinson","C",21,"NYK",61,7,28.7
"212","Gary Harris","SG",25,"DEN",56,55,28.65
"213","Markieff Morris","PF",30,"DET",44,16,28.5
"214","Malik Monk","SG",21,"CHO",55,1,28.25
"215","Patrick Beverley","PG",31,"LAC",51,50,28.15
"216","Dorian Finney-Smith","PF",26,"DAL",71,68,28.15
"217","Frank Kaminsky","C",26,"PHO",39,13,28.15
"218","Monte Morris","PG",24,"DEN",73,12,28.1
"219","Jordan McRae","SG",28,"DET",4,0,28.05
"220","Kent Bazemore","SF",30,"SAC",25,0,28
"221","Cam Reddish","SF",20,"ATL",58,34,27.95
"222","Daniel Theis","C",27,"BOS",65,64,27.8
"223","Dion Waiters","SG",28,"LAL",7,0,27.75
"224","Mikal Bridges","SF",23,"PHO",73,32,27.5
"225","Rajon Rondo","PG",33,"LAL",48,3,27.5
"226","Aaron Holiday","PG",23,"IND",66,33,27.5
"227","Dion Waiters","SG",28,"TOT",10,0,27.45
"228","Dewayne Dedmon","C",30,"ATL",10,8,27.4
"229","Bryn Forbes","SG",26,"SAS",63,62,27.4
