"","Name","Position","Age","Team","Games","GS","AFP","eAFP"
"128","Larry Nance Jr.","PF",27,"CLE",56,10,23.85,1335.6
"129","Dorian Finney-Smith","PF",26,"DAL",71,68,18.8,1334.8
"130","Josh Hart","SF",24,"NOP",65,16,20.4,1326
"131","Marquese Chriss","PF",22,"GSW",59,21,22.45,1324.55
"132","Rudy Gay","PF",33,"SAS",67,5,19.55,1309.85
"133","Donte DiVincenzo","SG",23,"MIL",66,24,19.6,1293.6
"134","Glenn Robinson III","SF",26,"TOT",62,52,20.85,1292.7
"135","Cody Zeller","C",27,"CHO",58,39,22.25,1290.5
"136","Dāvis Bertāns","PF",27,"WAS",54,4,23.85,1287.9
"137","J.J. Redick","SG",35,"NOP",60,36,21.45,1287
"138","Elfrid Payton","PG",25,"NYK",45,36,28.55,1284.75
"139","Caris LeVert","SG",25,"BRK",45,31,28.5,1282.5
"140","Dwight Howard","C",34,"LAL",69,2,18.5,1276.5
"141","Thomas Bryant","C",22,"WAS",46,36,27.5,1265
"142","P.J. Washington","PF",21,"CHO",58,57,21.8,1264.4
"143","Richaun Holmes","C",26,"SAC",44,38,28.6,1258.4
"144","Derrick Favors","C",28,"NOP",51,49,24.65,1257.15
"145","Bruce Brown","PG",23,"DET",58,43,21.65,1255.7
"146","Kevin Huerter","SG",21,"ATL",56,48,22.4,1254.4
"147","Coby White","PG",19,"CHI",65,1,19.05,1238.25
"148","Thaddeus Young","PF",31,"CHI",64,16,19.1,1222.4
"149","Josh Richardson","SG",26,"PHI",55,53,22.15,1218.25
"150","Jakob Poeltl","C",24,"SAS",66,18,18.4,1214.4
"151","Nerlens Noel","C",25,"OKC",61,7,19.85,1210.85
"152","Seth Curry","SG",29,"DAL",64,25,18.9,1209.6
"153","Tyus Jones","PG",23,"MEM",65,6,18.6,1209
"154","Danuel House","SF",26,"HOU",63,52,19.15,1206.45
"155","Marcus Morris","SF",30,"NYK",43,43,27.95,1201.85
"156","Shabazz Napier","PG",28,"TOT",56,32,21.35,1195.6
"157","RJ Barrett","SG",19,"NYK",56,55,21.1,1181.6
"158","George Hill","PG",33,"MIL",59,2,20,1180
"159","Lauri Markkanen","PF",22,"CHI",50,50,23.5,1175
"160","D.J. Augustin","PG",32,"ORL",57,13,20.55,1171.35
"161","Rui Hachimura","PF",21,"WAS",48,48,24.35,1168.8
"162","Robert Covington","PF",29,"MIN",48,47,24.25,1164
"163","D'Angelo Russell","PG",23,"GSW",33,33,35.05,1156.65
"164","Paul Millsap","PF",34,"DEN",51,48,22.3,1137.3
"165","Draymond Green","PF",29,"GSW",43,43,26.25,1128.75
"166","Kyle Kuzma","PF",24,"LAL",61,9,18.35,1119.35
"167","Derrick Jones Jr.","SF",22,"MIA",59,16,18.95,1118.05
"168","Mason Plumlee","C",29,"DEN",61,1,18.25,1113.25
"169","Damion Lee","SG",27,"GSW",49,36,22.7,1112.3
"170","Enes Kanter","C",27,"BOS",58,7,19.1,1107.8
"171","Mike Conley","PG",32,"UTA",47,41,23.5,1104.5
"172","Tyler Herro","SG",20,"MIA",55,8,19.9,1094.5
"173","Glenn Robinson III","SF",26,"GSW",48,48,22.7,1089.6
"174","Wendell Carter Jr.","C",20,"CHI",43,43,25.15,1081.45
"175","Jeremy Lamb","SG",27,"IND",46,42,23.45,1078.7
"176","Gary Harris","SG",25,"DEN",56,55,19.05,1066.8
"177","Willie Cauley-Stein","C",26,"TOT",54,39,19.75,1066.5
"178","Kris Dunn","PG",25,"CHI",51,32,20.85,1063.35
"179","Patrick Beverley","PG",31,"LAC",51,50,20.75,1058.25
"180","Jae Crowder","SF",29,"MEM",45,45,21.3,958.5
"181","Jonathan Isaac","PF",22,"ORL",34,32,28.1,955.4
"182","Kyrie Irving","PG",27,"BRK",20,20,47.6,952
"183","Jeff Teague","PG",31,"MIN",34,13,27.7,941.8
"184","Jabari Parker","PF",24,"TOT",38,23,24.75,940.5
"185","Marc Gasol","C",35,"TOR",44,43,20.95,921.8
"186","Dwight Powell","C",28,"DAL",40,37,22.45,898
"187","Willie Cauley-Stein","C",26,"GSW",41,37,21.65,887.65
"188","Jordan Clarkson","SG",27,"UTA",42,2,20.8,873.6
"189","Jabari Parker","PF",24,"ATL",32,23,25.95,830.4
"190","Zion Williamson","PF",19,"NOP",24,24,34.45,826.8
"191","Aron Baynes","C",33,"PHO",42,28,19.4,814.8
"192","Shabazz Napier","PG",28,"MIN",36,22,21.65,779.4
"193","Alex Len","C",26,"ATL",40,9,18.6,744
"194","Luke Kennard","SG",23,"DET",28,25,26.05,729.4
"195","Jordan McRae","SG",28,"TOT",37,4,19.1,706.7
"196","Jordan Clarkson","SG",27,"CLE",29,0,21.95,636.55
"197","Jordan McRae","SG",28,"WAS",29,4,21.65,627.85
"198","Reggie Jackson","SG-PG",29,"TOT",31,16,20.1,623.1
"199","Robert Covington","C",29,"HOU",22,21,26.8,589.6
"200","Jordan McLaughlin","PG",23,"MIN",30,2,19,570
"201","Trevor Ariza","SF",34,"POR",21,21,23.75,498.75
"202","Jae Crowder","PF",29,"MIA",20,8,24.3,486
"203","Kent Bazemore","SF",30,"SAC",25,0,19.3,482.5
"204","D'Angelo Russell","PG",23,"MIN",12,12,35.2,422.4
"205","Shabazz Napier","PG",28,"WAS",20,10,20.8,416
"206","Blake Griffin","PF",30,"DET",18,18,22.2,399.6
"207","Andrew Wiggins","SF",24,"GSW",12,12,33.05,396.6
"208","Jeff Green","C",33,"HOU",18,2,22,396
"209","Malik Beasley","SG",23,"MIN",14,14,28.05,392.7
"210","Rodney Hood","SF",27,"POR",21,21,18.65,391.65
"211","Victor Oladipo","SG",27,"IND",19,16,20.25,384.75
"212","Alec Burks","SG",28,"PHI",18,1,20.4,367.2
"213","James Johnson","C",32,"MIN",14,1,26.2,366.8
"214","Reggie Jackson","PG",29,"DET",14,10,24.1,337.4
"215","Jusuf Nurkić","C",25,"POR",8,8,41.5,332
"216","Juan Hernangómez","PF",24,"MIN",14,14,23.6,330.4
"217","Marvin Bagley III","C",20,"SAC",13,6,23.7,308.1
"218","Otto Porter","SF",26,"CHI",14,9,20.7,289.8
"219","Andre Drummond","C",26,"CLE",8,8,32.1,256.8
"220","Justise Winslow","SG",23,"MIA",11,5,21.2,233.2
"221","Dewayne Dedmon","C",30,"ATL",10,8,20,200
"222","Trey Burke","PG",27,"DAL",8,1,21.95,175.6
"223","Tyler Johnson","SG",27,"BRK",8,4,21.6,172.8
"224","Cameron Payne","SG",25,"PHO",8,0,21.3,170.4
